,cpu,gpu,model,ram
3668,"MediaTek MT6753, 2015, 64 bit, octa-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,K430dsY K Series K10 Dual SIM LTE,1.50
3669,"MediaTek MT6735P, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP1,Aqua Craze TD-LTE Dual SIM,1.00
3670,"Qualcomm Snapdragon 400 MSM8926, 2013, 32 bit, quad-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 305 GPU",Qualcomm Adreno 305,Sky LTE,1.00
3671,"MediaTek MT8735, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T760MP2,Tab 2 A8-50LC LTE 16GB,1.00
3672,"Qualcomm Snapdragon 616 MSM8939v2, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,au Qua Tab 02 WiMAX 2+  HWT31 / MediaPad T2 10.0 Pro FDR-A04L,2.00
3673,"Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",Qualcomm Adreno 306,au Qua Phone WiMAX 2+ KYV37,2.00
3674,"MediaTek MT6735, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T760,Funker Z1 Zygnus Dual SIM LTE 8GB,1.00
3675,"Qualcomm Snapdragon 210 MSM8909, 2014, 32 bit, quad-core, 28 nm, Qualcomm Adreno 304 GPU",Qualcomm Adreno 304,MS330 K Series K7 LTE / Tribute 5,1.50
3676,"MediaTek MT6735P, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720,Y6Pro Dual SIM TIT-U02,2.00
3677,"Qualcomm Snapdragon 620 MSM8976 / Snapdragon 652, 2015, 64 bit, octa-core, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 510 GPU",Qualcomm Adreno 510,SM-T819 Galaxy Tab S2 Plus 9.7 LTE-A,3.00
3678,"Qualcomm Snapdragon 616 MSM8939v2, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,Hongmi 3 4G / Redmi 3 Dual SIM TD-LTE 2015816,2.00
3679,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,Phone BIZ Dual SIM LTE VPB0511S,3.00
3680,"Qualcomm Snapdragon 617 MSM8952, 2015, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,V800 TD-LTE,2.00
3681,"Samsung Exynos 7 Quad 7578, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,SM-A310N0 Galaxy A3 2016 TD-LTE / SM-A310N,1.50
3682,"Samsung Exynos 7 Quad 7578, 2016, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,A71 4G LTE Dual SIM,1.00
3683,"MediaTek MT6735, 2015, 64 bit, quad-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP2,Funker Z5 Zygnus Pro Dual SIM LTE 32GB,2.00
3684,"MediaTek MT6755 (Helio P10), 2015, 64 bit, octa-core, 28 nm, ARM Mali-T860 GPU",ARM Mali-T860MP2 ,W909 Cheonjian Dual SIM TD-LTE,4.00
3685,"Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",Qualcomm Adreno 306,Funker W5.5 Pro 16GB 4G LTE,2.00
3686,"Qualcomm Snapdragon 410 MSM8916, 2014, 64 bit, quad-core, 28 nm, Qualcomm Adreno 306 GPU",Qualcomm Adreno 306,SM-J320R4 Galaxy J3 2016 4G LTE,1.50
3687,"MediaTek MT6753, 2015, 64 bit, octa-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720,GR3 Dual SIM TD-LTE TAG-L22 / Enjoy 5S,2.00
3688,"MediaTek MT6753, 2015, 64 bit, octa-core, 28 nm, ARM Mali-T720 GPU",ARM Mali-T720MP3,Elements 50d Oxygen Dual SIM LTE,2.00
3689,"Qualcomm Snapdragon 615 MSM8939, 2014, 64 bit, octa-core, 28 nm, Qualcomm Adreno 405 GPU",Qualcomm Adreno 405,Vibe P1 Turbo Dual SIM TD-LTE,3.00
3690,"MediaTek MT6582, 2013, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 512 Kbyte L2, 28 nm, ARM Mali-400 GPU",ARM Mali-400MP2,Joy 5 Dual SIM,1.00
