,full_link
223,http://phonedb.net/index.php?m=device&id=13196&c=huawei_y7_prime_2018_dual_sim_lte_emea_ldn-lx1__ldn-l21__huawei_london
224,http://phonedb.net/index.php?m=device&id=13147&c=huawei_p20_pro_dual_sim_td-lte_clt-al00_128gb__huawei_charlotte
225,http://phonedb.net/index.php?m=device&id=13195&c=oppo_f7_diamond_black_edition_dual_sim_td-lte_in_id_th_pk_version_1_128gb_cph1821
226,http://phonedb.net/index.php?m=device&id=13194&c=oppo_f7_dual_sim_td-lte_in_id_th_pk_version_1_64gb_cph1819
227,http://phonedb.net/index.php?m=device&id=13193&c=huawei_honor_changwan_7a_dual_sim_td-lte_cn_aum-al00__honor_play_7a__huawei_autumn
228,http://phonedb.net/index.php?m=device&id=13170&c=tp-link_neffos_n1_dual_sim_lte_tp908a
229,http://phonedb.net/index.php?m=device&id=13181&c=zte_blade_v9_vita_dual_sim_td-lte_cn_v0920__xiaoxian_5s
230,http://phonedb.net/index.php?m=device&id=13192&c=huawei_enjoy_8e_dual_sim_td-lte_cn_atu-al10__huawei_autumn
231,http://phonedb.net/index.php?m=device&id=13191&c=samsung_sm-g965j_galaxy_s9plus_wimax_2plus_scv39__samsung_star_2
232,http://phonedb.net/index.php?m=device&id=13190&c=oppo_r15_dream_mirror_edition_dual_sim_td-lte_cn_paat00__r15_dme_4gplus
233,http://phonedb.net/index.php?m=device&id=13189&c=lenovo_s5_dual_sim_td-lte_cn_64gb_pabx0002cn__pabx0003cn
234,http://phonedb.net/index.php?m=device&id=13188&c=meizu_mblu_e3_dual_sim_td-lte_cn_m851m_128gb__meizu_meilan_e3
235,http://phonedb.net/index.php?m=device&id=13187&c=lg_h873u_g6plus_lte-a_128gb__g6_plus__lg_diva
236,http://phonedb.net/index.php?m=device&id=13186&c=lg_x230dsv_k_series_k4_lite_gold_2017_dual_sim_lte
237,http://phonedb.net/index.php?m=device&id=13185&c=samsung_sm-g611ffds_galaxy_j7_prime_2_duos_td-lte__samsung_g611
238,http://phonedb.net/index.php?m=device&id=13184&c=htc_desire_12plus_dual_sim_td-lte_apac_32gb__htc_breeze_plus
239,http://phonedb.net/index.php?m=device&id=13183&c=bbk_vivo_y85_dual_sim_td-lte_cn_64gb
