,cpu,gpu,model,ram
9655,"Qualcomm MSM7227A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 200,Blade III,512
9656,"Texas Instruments OMAP 4470, 2011, 32 bit, quad-core, 45 nm, IMG PowerVR SGX544 GPU",PowerVR SGX544,Gen10 101 XS ,1.00
9657,"Qualcomm Snapdragon S3 APQ8060, 2011, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 512 Kbyte L2, 45 nm, Qualcomm Adreno 220 GPU",Qualcomm Adreno 220,SGH-T989 Galaxy SII Plus,1.00
9658,"Qualcomm MSM7627T, 2010, 32 bit, single-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 65 nm, Qualcomm Adreno 200 GPU",Qualcomm Adreno 200,SCH-i509 Galaxy Y,384
9659,"Qualcomm MSM7227A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 200,GT-S7562 Galaxy S Duos,768
9660,"Samsung Exynos 4 Quad 4412, 2012, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 32 nm, ARM Mali-400 GPU",ARM Mali-400,SHW-M480S Galaxy Note 10.1 3G,2.00
9661,"Samsung Exynos 4 Quad 4412, 2012, 32 bit, quad-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 32 nm, ARM Mali-400 GPU",ARM Mali-400,SHW-M480K Galaxy Note 10.1 3G,2.00
9662,"Qualcomm Snapdragon S2 MSM8255T, 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 205 GPU",Qualcomm Adreno 205,V882,512
9663,"MediaTek MT6577, 2012, 32 bit, dual-core, 40 nm, IMG PowerVR SGX531T GPU",PowerVR SGX531T,SH530U,512
9664,"Qualcomm Snapdragon S2 MSM8255T, 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 205 GPU",Qualcomm Adreno 205,XT626 DOUBLE V,1.00
9665,"Marvell PXA918, 2012, 32 bit, single-core",Qualcomm Adreno 200,GT-S6108 Galaxy Y Pop,384
9666,"Marvell PXA920H, 2012, 32 bit, single-core, Vivante GC530 GPU",Qualcomm Adreno 200,GT-S7508 Galaxy Ace Plus,384
9667,"Broadcom BCM21553, 2010, 32 bit, single-core, 65 nm",Broadcom BCM21553,GT-S5830I / GT-S5839I Galaxy Ace,384
9668,"Marvell PXA918, 2012, 32 bit, single-core",Broadcom BCM21553,GT-S6358 Galaxy Ace,512
9669,"NVIDIA Tegra 3+ AP37, 2012, 32 bit, penta-core, 32 Kbyte I-Cache, 32 Kbyte D-Cache, 40 nm, NVIDIA GeForce ULP GPU",NVIDIA GeForce,One X+ S728e,1.00
9670,"Qualcomm Snapdragon S4 MSM8260A, 2012, 32 bit, dual-core, 16 Kbyte I-Cache, 16 Kbyte D-Cache, 1024 Kbyte L2, 28 nm, Qualcomm Adreno 230 GPU",Qualcomm Adreno 225,Samsung SGH-T699 Galaxy S Relay 4G / Blaze Q,1.00
9671,"Qualcomm MSM7627A (Snapdragon S1), 2011, 32 bit, single-core, 45 nm, Qualcomm Adreno 200 enhanced GPU",Qualcomm Adreno 200,Defy XT XT556,512
